unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
16,1.9374024047863264e+30,742556691813.5868,599216106858.2407,875784738394.3087,169338.2843933991,232420.75441015107,323362.36632092955,0,10000
17,2.1631585645815107e+30,1007601466561.5496,1004663990565.671,763850047392.5336,250021.0467347665,198135.4886504809,289668.6167066471,0,10000
18,1.841286539084439e+30,671794762819.5674,829600151074.7964,867059043601.6384,235173.07570326887,243779.05113539853,297799.4709028276,0,10000
19,1.820330628212269e+30,592591054705.0778,856326758697.4131,470079492680.50385,304866.9274346561,245607.28073907772,278088.6045855063,0,10000
20,2.2013764890551073e+30,814226535436.3391,869000635958.4113,887799750079.5833,191622.63634210185,262843.8999408944,270141.37672521645,0,10000
21,2.0052449872454164e+30,1061177560558.9781,961304195765.0892,761409045395.5358,228471.59420696244,291864.8086896834,291774.04136758484,0,10000
22,2.1084173530509277e+30,694866715319.9932,481883019293.4784,726763883049.0498,214206.32072529924,274454.91847186716,234098.31532145018,0,10000
23,2.1785448240521582e+30,742655016544.9315,760464247846.8066,725074550791.2345,230392.9241779101,203835.87201715296,214391.00922680678,0,10000
24,1.8979204957759255e+30,585952939119.2787,627922374793.9658,709792231028.9479,207812.316900081,334403.8494586811,179003.0321599654,0,10000
25,2.3284662038781186e+30,914373410994.9377,633862599483.3025,1028271534668.0867,210642.9866263347,257639.1403439207,170183.6480552327,0,10000
26,2.0026020213280354e+30,988942587191.6377,587076874551.1595,624325820769.2087,217998.60938316755,185111.22451349258,278997.28521222994,0,10000
27,1.6937600155200524e+30,812472337187.1986,850843988328.1056,717832411226.3906,212381.57624669414,250659.10053153505,235823.12583661982,0,10000
28,2.028630375967836e+30,723508476797.8611,965204934117.7795,882941587821.686,235546.35987501763,331653.8697897166,302873.71335967944,0,10000
29,2.0454570381811001e+30,709233797941.5127,892167093098.8961,811967215603.0411,322517.18530801794,330268.5508970048,351821.41067012766,0,10000
30,2.0457126188612606e+30,418983941646.41064,774289644342.1257,885383605149.0586,281507.3924205642,319965.3938438888,275434.63127126964,0,10000
