unique_id,mass,x_pos,y_pos,z_pos,vel_x,vel_y,vel_z,frame,dt
71,6.176064596847377e+29,741720081500.3866,703279203145.6483,706258804078.0708,321461.12195362063,192691.8625449705,289835.206051176,0,10000
72,6.150597654674634e+29,810139703801.9175,794984169138.4237,1171990087722.651,272091.835298293,302732.688637875,273639.2255308205,0,10000
73,5.5508068477455295e+23,757218378978.709,532694666229.65344,953554242867.9867,246214.89668329476,242454.2237462045,294170.3133368211,0,10000
74,9.936723714204098e+29,584778696433.9442,658371779594.5065,773826676753.1471,267782.86019603297,207601.85380501655,260755.13961080107,0,10000
75,8.106427888402018e+27,652901881832.8818,794889813246.6238,809769939937.8455,237041.8030353275,250916.56950214735,225917.41570176205,0,10000
76,2.877927688909504e+26,799753685686.3882,769647148466.44,522819156594.9472,254112.30205505414,204183.01634303216,266628.06008057366,0,10000
77,1.5919444134932813e+29,690286376157.0424,609486858426.2932,818446563071.1531,259008.33325376443,273113.0090428718,258491.9791950838,0,10000
78,1.467416375942111e+29,769758407191.4235,703322704011.9539,1072963129124.4995,239077.2959314346,177262.5126607845,286859.7634256235,0,10000
79,9.34297723062527e+29,673233523523.3888,486215890217.51,734061203602.8638,269514.7815259859,270621.7240512109,289129.5085718476,0,10000
80,8.395522687851157e+22,538799164537.05255,532075978345.67773,587703451882.3993,247996.45684625304,281587.8911517326,237142.08805774947,0,10000
81,9.058501660611169e+27,963904713166.5021,445882516550.9444,1013798700754.6787,238675.0917590467,233550.78015119646,181569.39093448507,0,10000
82,9.552677756014436e+25,576627621740.8271,893510394085.6962,857182994268.6953,260886.69175302467,280872.82739385194,184038.48000420534,0,10000
83,5.834002384133802e+28,582520874926.56,913799326106.2867,770439565269.4109,226183.51905879,241752.18291272232,318767.68402569473,0,10000
84,1.4872172337529678e+29,779625132267.7697,643344541127.0883,844964816128.731,285668.6390225851,284556.0638437833,323766.2233093463,0,10000
85,9.230665513824826e+29,940668882786.9037,865096375150.834,640691599204.4417,228650.78549180212,234190.0644335885,200532.09588338688,0,10000
86,8.418323658565e+29,821078486563.4966,648214714906.4624,478837261630.36456,299235.75000537967,226527.33635035905,178486.38142374158,0,10000
87,9.288495205143643e+29,718906756824.3014,710521177572.2673,1028299324857.4554,178754.43667825576,315567.6449964171,170017.82721354946,0,10000
88,1.5152840935307255e+29,685136959398.4426,556045120941.7819,522472987176.85034,210718.50484935145,245452.25064789702,208085.46549381258,0,10000
89,9.452991510822207e+29,618578990613.6458,854006144115.7383,774651084673.0632,212117.83184174422,300047.18100336875,278297.6509152622,0,10000
90,1.477298204222275e+29,600566002865.832,654100784249.4426,667506482299.3762,199314.03115339842,224026.77617665738,212200.4138980351,0,10000
91,5.1068916138672014e+29,746904524398.0731,610111131208.3357,984627034640.2719,244253.9154986176,252052.65002068167,276517.59269161295,0,10000
92,7.767842032901597e+29,981654276657.2249,834225188309.7869,750575090793.994,202359.97909896853,267634.70326683094,292625.088005757,0,10000
93,1.8150096835230238e+26,738959636708.2217,692697020429.4355,996954196291.4812,258525.990788916,215140.63271696496,169169.50225889267,0,10000
94,2.193544754902683e+21,664221856724.8799,904461626839.7944,483483991194.89606,243583.70998813715,250227.6259666269,222536.77600623222,0,10000
95,2.3929528869702194e+29,771469066130.8013,796851199474.4717,717758042976.9725,262846.5184370022,236109.54181836927,307303.77213607426,0,10000
96,4.80746065395246e+29,1025352357089.6909,780917540522.5687,732600280425.8092,352800.8482918997,280215.8419850524,224896.02999873343,0,10000
97,2.1362729035346594e+24,721641088462.9727,905271546303.1626,808667727505.6808,219772.7311928245,278085.56221287005,232038.021368369,0,10000
98,7.66235567760768e+27,505670757672.42926,646897506005.1907,584326523888.9315,252593.37537728038,259070.4547195187,206348.5980416787,0,10000
99,5.59266778436115e+27,688541341831.6796,558169768629.5189,770275632456.3461,296339.2650350753,275202.0403026858,250067.14591233135,0,10000
0,9.439228257977342e+28,704860732755.0724,717978238769.6804,702313619680.2234,343716.7232426899,355299.5830517296,209834.68005330747,0,10000
1,1.5041329853841822e+27,715890315567.8302,789769412437.0912,976380223913.4164,236110.06906286377,245116.58747941293,296733.7056944378,0,10000
2,1.657856349229949e+28,896442279354.428,551224465853.6227,628867663770.6957,210139.62196315997,265533.49901127775,312744.6060023939,0,10000
3,1.242980143794166e+29,892491752217.5774,926286185082.7335,792162822581.719,224019.983554635,240073.52024939682,240020.46383146965,0,10000
4,1.788015301382671e+26,1130320214998.5713,619530174538.9664,724215894003.2167,290507.0884063655,251606.6308630084,322990.56948353274,0,10000
5,7.891917586867129e+25,753204383597.4807,565060670157.5122,698047590758.4761,237027.67905030618,156725.28584783233,248340.0972330121,0,10000
6,1.0865287454584258e+26,689017673485.346,587016219554.091,668145861145.9447,301410.0720728955,301587.4038566454,289024.20705162076,0,10000
7,7.60445812428936e+29,908798956118.4773,808654397298.3916,687400709090.9565,235833.075287231,263231.83061023155,330036.3450961648,0,10000
8,3.7978217257566746e+29,779927177192.1211,839914603222.6461,971506994659.5504,217133.02767357408,207889.18819864668,265347.3423024578,0,10000
9,1.0208367281996507e+29,630723332983.543,681991818294.3579,754069149347.965,269128.65910935233,239889.3104241901,312951.443928381,0,10000
10,9.279934959104154e+29,947666663969.5565,764430834920.797,489292616288.74817,225413.26101524662,265145.3667415677,200009.76180933404,0,10000
11,9.84292303710702e+29,693179172619.554,698340479562.3663,835374983388.1688,239857.33622342808,301623.0720774839,137626.71889945367,0,10000
